period,start,end,days,strat_return,strat_sharpe,strat_dd,strat_txn,bench_return,bench_sharpe,bench_dd,outperformance,market
Complete 2010-2024,2010-06-01,2024-12-31,11103,243.7898285593986,7.430616549787735,-29.426640635858664,422.0,441.47753070620877,0.4310539149709862,-38.68153245284886,-197.68770214681018,Europe 2010-2024
Crise Euro 2010-2012,2010-01-01,2012-12-31,1961,15.378775443196293,7.314050770133779,-2.5907113437652596,42.0,22.536815118489884,0.2761147393392255,-30.05853036422586,-7.15803967529359,Europe 2010-2024
Recovery 2012-2015,2012-01-01,2015-12-31,3045,70.77384646099806,8.936751407080076,-4.572732635893872,214.0,94.51041027302773,0.614901191977532,-16.320313754039553,-23.736563812029672,Europe 2010-2024
Brexit 2015-2017,2015-01-01,2017-12-31,2285,0.7801031069755555,0.9984679808801746,-4.593778780460357,58.0,40.85337260542987,0.432756510446447,-24.173301843600882,-40.073269498454316,Europe 2010-2024
Bull 2017-2020,2017-01-01,2020-02-01,2345,14.58533163094521,4.7483073350744105,-9.186785212316886,120.0,40.75668586817513,0.5884213655387739,-13.593056681730085,-26.17135423722992,Europe 2010-2024
COVID Crise,2020-02-01,2020-04-01,127,-15.610278751373293,-11.22497216032183,-15.610278751373293,20.0,-28.046745681315286,-1.9548445379285793,-38.68153245284888,12.436466929941993,Europe 2010-2024
COVID Recovery,2020-04-01,2021-12-31,1338,40.79364777493476,12.520832766976959,0.0,56.0,87.060661079326,1.1541689936539363,-12.713541447415707,-46.267013304391234,Europe 2010-2024
Inflation/Guerre 2022-2024,2022-01-01,2024-12-31,2281,39.91777577257155,12.57007349351618,-1.424193827276701,94.0,32.624845226357266,0.4161019032249248,-17.818078145773708,7.292930546214286,Europe 2010-2024
