period,start,end,days,strategy_return_mean,strategy_return_std,strategy_sharpe_mean,strategy_dd_mean,benchmark_return,benchmark_max_dd,outperformance,win_rate_vs_benchmark,market
EU 2007-2024,2007-01-01,2024-12-31,11103,352.9097053541324,57.43163754276644,5.050409171026276,-22.138464368447874,441.47753070620877,-38.68153245284886,-88.56782535207634,10.0,Europe
EU Dette 2010-2012,2010-01-01,2012-12-31,1962,16.351871169541283,5.690095925060141,2.931382286818788,-21.744712762634794,22.514148971195482,-30.05853036422586,-6.162277801654199,20.0,Europe
EU COVID,2020-02-01,2020-05-01,187,-21.85471464636723,2.579826977999633,0.0,0.0,-20.519837956698616,-38.68153245284888,-1.334876689668615,26.666666666666668,Europe
EU 2022 Energy,2022-01-01,2022-12-31,762,-3.7047177002628646,1.9813270678257435,-1.1224282807581645,-12.874915561370962,-2.732725435027561,-17.818078145773708,-0.9719922652353037,30.0,Europe
