fee_pct,fee_label,return,sharpe,drawdown,transactions,total_fees,outperformance
0.0,0%,376.27950109481804,7.577983630143247,-18.680080101387794,442.0,0.0,185.41564887851797
0.001,0.1%,358.8588375943401,7.41098666348368,-18.851037627910227,442.0,10386.955762774705,167.99498537804004
0.002,0.2%,350.2584083093098,7.374918589138269,-19.000772029719617,438.0,20378.227358899112,159.39455609300973
0.005,0.5%,267.26513567006,6.543817295990711,-19.464895630205074,415.0,44215.09829155083,76.4012834537599
0.01,1.0%,236.32764983880503,6.482008340828768,-15.877165811731686,395.0,83248.06001446243,45.463797622504956
