simulation,seed,total_return,sharpe_ratio,max_drawdown,final_value
1,0,133.6792176103592,9.706755800881181,-5.654694081514921,233679.2176103592
2,1,135.93801939392088,9.36782029591462,-4.649404065711296,235938.0193939209
3,2,151.72564633750915,9.494790097802522,-6.37317382206616,251725.64633750916
4,3,124.32344831085204,9.479077140877035,-5.039965458529486,224323.44831085205
5,4,140.80306153869628,7.611495899653879,-7.304682298732783,240803.0615386963
6,5,127.11739486503602,8.45198272355257,-9.203357939594122,227117.394865036
7,6,132.88484385108947,8.37032163973257,-7.422962164004324,232884.84385108948
8,7,111.49356482124328,8.580978713008733,-6.096054912362541,211493.5648212433
9,8,153.98495155644417,8.683826648450765,-7.1692289299405045,253984.95155644417
10,9,126.62035942649841,10.17294821356451,-5.715709905998868,226620.3594264984
11,10,148.80007938194274,8.828327679637843,-7.4729575783907585,248800.07938194275
12,11,175.85027163887023,11.617326128218837,-4.028097225079736,275850.27163887024
13,12,156.07718343353272,11.328541672915426,-4.330571054773957,256077.18343353271
14,13,142.5064706392288,9.635528000718644,-3.5786832751295967,242506.47063922882
15,14,122.29998351478577,8.65357778838526,-8.080522894723217,222299.98351478577
16,15,137.2895246925354,9.142603103975176,-7.078097227483288,237289.5246925354
17,16,112.59992578697205,7.391408268131395,-7.667874710916886,212599.92578697205
18,17,161.04811435317993,10.571042887517786,-6.800596754759796,261048.11435317993
19,18,137.40807145118714,8.143797381255656,-5.516075790264665,237408.07145118713
20,19,135.84884841156006,7.678292235160316,-4.99858302116394,235848.84841156006
21,20,128.20857503986358,8.948886364162895,-6.46680665959337,228208.5750398636
22,21,186.66496621799467,7.66489574066608,-5.796063896972866,286664.9662179947
23,22,148.43579540634155,8.924122791773952,-6.74148419178367,248435.79540634155
24,23,133.61187249374387,8.09934619743754,-4.3051540008885025,233611.8724937439
25,24,123.48610372924804,9.301260891220656,-6.489372562760552,223486.10372924805
26,25,108.23768417167663,7.659111706057922,-10.38297215705871,208237.68417167664
27,26,138.071164434433,9.231677677881002,-3.570547401428223,238071.16443443298
28,27,106.76448027229308,8.080402678888507,-8.16323151009939,206764.4802722931
29,28,129.27581588172913,9.355230700681002,-5.3465600919477785,229275.81588172913
30,29,152.8237091732025,8.776927802044844,-6.077502649612242,252823.70917320251
31,30,120.74326408004761,8.93105623421715,-8.497022947061389,220743.2640800476
32,31,126.70024041557313,8.534697882697762,-6.668060867829423,226700.24041557312
33,32,181.18015945625305,9.723286569239896,-6.4228866914162825,281180.15945625305
34,33,121.58816533374785,7.842344486332118,-7.828475132134175,221588.16533374786
35,34,121.41953252983093,8.647048281400608,-8.13212968926206,221419.53252983093
36,35,121.55223390579224,7.9808973330316775,-8.751542247596351,221552.23390579224
37,36,114.70095297241213,7.796075235462929,-7.403810220056435,214700.9529724121
38,37,215.5285935745239,7.502412683820562,-9.45188199107075,315528.5935745239
39,38,93.39932406806946,8.082459500053966,-7.030192236641847,193399.32406806946
40,39,154.54960586357117,9.524315442159752,-4.365247463226318,254549.60586357117
41,40,120.93250365638733,8.570683139140574,-5.902382082574734,220932.50365638733
42,41,107.86218155956269,10.54926159137627,-4.740177846740959,207862.18155956268
43,42,145.65005737876893,10.245545809808263,-3.593288638846127,245650.05737876892
44,43,155.1555597419739,9.359138494979685,-3.818557409286499,255155.55974197388
45,44,191.95040997123718,7.722575770991432,-7.210559589909319,291950.4099712372
46,45,138.2545961074829,9.2229595138237,-5.402999355259739,238254.5961074829
47,46,138.32064037704467,9.575181581679455,-5.044470880508422,238320.64037704468
48,47,136.1933562850952,8.629672116891225,-5.196701841275305,236193.35628509521
49,48,110.6566072883606,7.968279094077232,-6.135632972078485,210656.6072883606
50,49,133.76252800369264,8.434942175952102,-6.097707716503919,233762.52800369263
51,50,144.76006094551087,9.187739955020788,-4.717621394874238,244760.06094551086
52,51,104.4534318599701,8.3256910045999,-6.921457096271268,204453.4318599701
53,52,109.13253875541686,8.123539803294262,-9.742173023129101,209132.53875541687
54,53,146.31274102020265,8.42505578373941,-6.601566831407728,246312.74102020264
55,54,112.02232793807983,7.950608304246928,-3.233301559448242,212022.32793807983
56,55,143.30027079963682,8.538819919713815,-8.941776257751709,243300.27079963684
57,56,92.52697910118103,7.987931438544316,-5.568654644669208,192526.97910118103
58,57,120.73832571029664,9.857488752046091,-6.032775989550472,220738.32571029663
59,58,151.3948330383301,10.254886286754239,-4.518681699752808,251394.83303833008
60,59,172.27988829612733,10.026483719567779,-5.862642617007294,272279.8882961273
