period,market,start,end,days,strat_return,strat_sharpe,strat_dd,strat_vol,bench_return,bench_sharpe,bench_dd,outperformance,sharpe_diff,dd_diff
Complete,US S&P 500,2018-01-01,2024-12-31,1760,117.10169623661038,8.545624262611025,-12.37495405923225,170.04700114379474,190.86385221630007,0.8926169374607394,-33.29533966031114,-73.7621559796897,7.653007325150285,20.92038560107889
Pre-COVID,US S&P 500,2018-01-01,2020-02-01,524,6.077699798583983,9.16515138991168,0.0,55.703038756458,37.49202076066616,1.0943227456003328,-17.119643285643583,-31.414320962082176,8.070828644311346,17.119643285643583
COVID-Recovery,US S&P 500,2020-04-01,2021-12-31,442,15.710423944473272,5.947679051473758,-3.4424235832193406,59.133517895114466,106.34576557200175,2.4630851605772612,-7.695821927499753,-90.63534162752848,3.4845938908964964,4.253398344280413
Bear Market 2022,US S&P 500,2022-01-01,2022-12-31,251,0.0,0.0,0.0,0.0,-9.053241621239149,-0.3235791627855268,-19.26886929264192,9.053241621239149,0.3235791627855268,19.26886929264192
Bull 2023-2024,US S&P 500,2023-01-01,2024-12-31,501,9.44256588745117,7.937253933193772,0.0,74.94804322961322,40.91840858503206,1.6078759431745713,-9.517978958906147,-31.47584269758089,6.329377990019201,9.517978958906147
Complete,Europe EURO STOXX,2010-06-06,2024-12-30,11102,296.156125331223,4.631960193174518,-20.212381404995917,125.15359550382244,441.5009816485166,0.4310831042383536,-38.68153245284886,-145.3448563172936,4.2008770889361635,18.469151047852947
2010-2015,Europe EURO STOXX,2010-01-01,2015-12-31,4247,48.58971140789984,3.6416537528033666,-20.212381404995917,114.98978864478661,95.38516359162286,0.4244443420049573,-30.05853036422586,-46.795452183723015,3.217209410798409,9.846148959229943
2015-2020,Europe EURO STOXX,2015-01-01,2020-12-31,4571,25.09835085272789,1.7632822508047143,-26.39094294076607,89.00713939570647,74.89218948533478,0.33838432129833085,-38.68153245284885,-49.79383863260689,1.4248979295063835,12.290589512082779
2020-2024,Europe EURO STOXX,2020-01-01,2024-12-31,3812,111.09623280775544,6.099982893683355,-12.503736871450435,85.61271128010259,76.5089054601408,0.4042800340504566,-38.68153245284886,34.58732734761465,5.695702859632898,26.177795581398428
