n_stocks,lookback_months,stop_loss_threshold,mean_return,std_return,min_return,max_return,median_return,mean_sharpe,std_sharpe,mean_drawdown,std_drawdown,win_rate,risk_adjusted_return,sharpe_of_returns,n_simulations
10,3,-0.05,127.97099141802786,26.11796097682643,84.80714755058288,181.73693676567078,128.73026172161101,8.955531999759833,1.5470357380995137,-7.3406624803577305,2.439227130010787,100.0,17.43316652420062,4.8997313202042125,20
10,3,-0.1,119.6900823764324,27.740876130634778,64.11023600196837,170.90655990219116,123.19503218364716,8.516806493752963,2.1749798974365424,-7.378060143935976,2.7259575662028195,100.0,16.22243246076079,4.314574702428247,20
10,3,-0.15,133.38223908414838,33.96080434076174,80.21528711318969,218.63813909721372,126.19707789707184,8.935283615377454,1.6299537489563265,-7.358980470322848,3.0424879950967023,100.0,18.12509757595494,3.9275347469922917,20
10,3,-0.2,128.32075230917928,37.68786038828368,79.74355724334717,208.6879409370422,118.85344642686843,8.456167447250397,1.508467145080649,-7.762725470800168,2.461541726291615,100.0,16.53037361579556,3.4048298573370683,20
10,6,-0.05,130.51256027169228,35.752301616332005,77.86380757522583,227.19274842643736,121.65650527095795,8.212135100736308,1.6012529091734706,-10.277771686745579,4.704500474965777,100.0,12.698526903453587,3.6504659664225043,20
10,6,-0.1,136.62489838852883,46.44357587788074,80.67201809310913,216.80257925033567,116.92154085063936,8.33272332867169,1.7315329125991528,-8.951070820706308,4.727823205912646,100.0,15.263525574222648,2.941739429103648,20
10,6,-0.15,133.12532073035237,36.84609456817621,98.9932125635147,216.93515894699095,119.50471841716767,8.449907453505887,2.092553882176377,-9.108058957971618,6.5785556627473065,100.0,14.616212010116328,3.6130103418160373,20
10,6,-0.2,130.2828260719776,34.833610477976265,73.9113084487915,213.30332797431944,123.55610660457612,8.474441688160965,1.8283079607165769,-9.61258125831723,7.268175694568419,100.0,13.553365383439662,3.740147067280023,20
10,9,-0.05,127.51831793303488,38.52927422298675,68.93095741271974,221.90542463493347,123.83909123611448,8.151438639543667,1.4758628098551327,-10.310235395263103,5.414780773104982,100.0,12.368128664804436,3.3096475473435425,20
10,9,-0.1,132.37550154747962,45.85230180929694,61.09187603378295,251.34360057067872,124.2055798473358,8.146059163639912,1.8175485971254906,-10.518425622352686,5.602802468660077,100.0,12.585106013030002,2.8869979548254516,20
10,9,-0.15,130.7231733595848,38.89403201349981,68.81645505142212,198.13755566215514,120.6060446472168,8.189515955787485,1.9118426942016857,-10.25877774710206,5.939703343345939,100.0,12.742568031217168,3.361008529900212,20
10,9,-0.2,129.52028036761283,34.14312181500751,60.71067017745971,198.13755566215514,124.10632023334503,8.213104165405841,1.8378676447864999,-9.691252148308644,5.120026625231378,100.0,13.364659012635144,3.7934516084783603,20
10,12,-0.05,131.49750035724637,26.557821162057476,91.66211631584169,202.50724089813232,131.17485820388794,7.974730943616066,1.1127004518537897,-9.09458643058436,3.159772472663246,100.0,14.458876317347524,4.95136628697213,20
10,12,-0.1,135.57929448494912,34.27567044546121,71.10779349517821,208.67919965171814,139.42257091999053,7.976138483368503,1.312250277232761,-9.904373439181175,4.093249043701878,100.0,13.68883103181516,3.955554850507747,20
10,12,-0.15,131.0959518682003,33.084160275915075,83.24627751159667,203.16581392097476,123.92205458545686,7.831275289766353,1.5856774865424725,-11.043214595972712,5.8891777470072295,100.0,11.871176705740098,3.962498995739565,20
10,12,-0.2,131.3205981888771,50.27143312189515,76.83047811889648,288.314666097641,117.33350599861146,7.864375190580167,1.4949814447250673,-11.266461009877881,5.710831009723338,100.0,11.655887156911264,2.6122310432340137,20
15,3,-0.05,142.65284268479348,41.59827216416226,70.86467205142975,233.97599251842502,134.71220731830596,9.01100179324258,1.3108508091806466,-6.284979617548304,1.9154312678119947,100.0,22.697423279861116,3.429297306432159,20
15,3,-0.1,120.90596180825237,29.868759144827166,77.34498855018616,199.19322490119936,115.04311198329927,8.597687834139045,1.4703008351872817,-6.097546312537413,1.5026710941768886,100.0,19.8286254193187,4.047907086531632,20
15,3,-0.15,131.22241110062595,33.433062330853254,86.27483634757995,196.75164550209047,124.44357923030853,8.957699920800142,1.7116694899187166,-6.591610945569805,2.1063933777013815,100.0,19.907487287128195,3.9249294546233986,20
15,3,-0.2,124.01257733712195,30.69588443195136,80.53706282997132,176.3566674823761,118.21396878337859,8.443796618905706,1.4797769718604143,-7.118896506755695,2.6813050963506138,100.0,17.42019668630334,4.04003923105852,20
15,6,-0.05,129.4270999585509,24.692233205822756,63.99592737579346,182.50527136206628,125.3123107252121,8.56363480477402,1.1772850089644233,-8.535598374697203,3.8120893918818552,100.0,15.163213435887824,5.241611760253029,20
15,6,-0.1,127.40287681021691,29.223473916466403,79.27556946182251,176.1286677932739,125.55107302570343,8.569029403739616,1.607272362209017,-8.745389469211377,5.37380777623596,100.0,14.568004919477369,4.359607525593658,20
15,6,-0.15,129.2892268846035,31.892645738153533,88.85468112945557,190.82399745559692,133.64333859825132,8.855141077472666,1.8030273705891995,-7.048610929675824,3.2340261794353276,100.0,18.342511478435323,4.053888408823146,20
15,6,-0.2,124.1344132099628,28.48817822883739,85.98638568687439,169.83980349731445,120.87013234233856,8.382231722812934,1.6277840943258155,-8.562226452974235,4.634074802431107,100.0,14.497912884194111,4.357400891444393,20
15,9,-0.05,113.70635330655576,30.999718326648956,76.34071591758727,167.43770979881288,100.13388374042512,7.668715616860888,1.1422853282540673,-12.142896461952692,4.417240141312078,100.0,9.36402230413737,3.667980208994606,20
